"x","y","z","vx","vy","vz","t"
-0.0850845364623921,0.013662444815059,0.0292101417640638,0.00147347310255341,-6.19868713136462e-05,0.00325090747261836,1.54
-0.0850771690968793,0.0136621348807025,0.0292263963014269,0.00149716097261887,-0.000858357280644761,0.00370477726203688,1.545
-0.0850696832920163,0.0136578430942992,0.0292449201877371,0.00156375823656685,-0.0016329757653144,0.00420373941272256,1.55
-0.0850618645008334,0.0136496782154727,0.0292659388848007,0.00168128470687812,-0.00235055853008703,0.00475283883032418,1.555
-0.085053458077299,0.0136379254228222,0.0292897030789523,0.00185203585072458,-0.00297612984789253,0.00534867028147978,1.56
-0.0850441978980454,0.0136230447735828,0.0293164464303597,0.0020722668910178,-0.00347876189942808,0.00598050630318259,1.565
-0.0850338365635903,0.0136056509640856,0.0293463489618756,0.00233238429419025,-0.0038349325863718,0.00663217777028269,1.57
-0.0850221746421194,0.0135864763011538,0.029379509850727,0.00261765251410306,-0.00403099073824076,0.00728435888468493,1.575
-0.0850090863795488,0.0135663213474626,0.0294159316451504,0.00290941062244254,-0.00406436611246896,0.00791682867820054,1.58
-0.0849945393264366,0.0135459995169002,0.0294555157885414,0.00318677045989535,-0.00394339456617487,0.00851027076294031,1.585
-0.0849786054741372,0.0135262825440693,0.0294980671423561,0.00342870435552367,-0.00368591632044224,0.00904732150426302,1.59
-0.0849614619523595,0.0135078529624671,0.0295433037498775,0.00361633478718204,-0.00331704385349019,0.00951287734216599,1.595
-0.0849433802784236,0.0134912677431997,0.0295908681365883,0.00373514137772535,-0.00286657647305677,0.00989398265218711,1.6
-0.084924704571535,0.0134769348608344,0.0296403380498492,0.00377674170015663,-0.00236644806722863,0.0101797529478587,1.605
-0.0849058208630342,0.0134651026204983,0.0296912368145885,0.00373992237183707,-0.00184843257056422,0.0103616850446686,1.61
-0.084887121251175,0.0134558604576454,0.0297430452398119,0.00363071249105396,-0.00134220365884119,0.0104344738391715,1.615
-0.0848689676887198,0.0134491494393512,0.0297952176090077,0.00346147436027788,-0.000873770138176688,0.0103972127076579,1.62
-0.0848516603169184,0.0134447805886603,0.029847203672546,0.00324918112000194,-0.000464261688123968,0.0102546346575805,1.625
-0.0848354144113184,0.0134424592802197,0.0298984768458339,0.00301320735895949,-0.000129026328771209,0.0100179020751101,1.63
-0.0848203483745236,0.0134418141485759,0.0299485663562095,0.00277303660620731,0.00012296447852167,0.00970448718369266,1.635
-0.0848064831914925,0.0134424289709685,0.0299970887921279,0.00254626098117328,0.000289354522181595,0.00933693796789647,1.64
-0.0847937518865867,0.0134438757435794,0.0300437734819674,0.00234712952058569,0.000374220214061083,0.00894066193226628,1.645
-0.0847820162389837,0.0134457468446497,0.0300884767916287,0.00218574770511903,0.000387436213866721,0.00854112443815502,1.65
-0.0847710875004581,0.013447684025719,0.0301311824138195,0.00206787916785522,0.000343611233832863,0.00816100724256863,1.655
-0.0847607481046189,0.0134494020818882,0.0301719874500324,0.00199517407206695,0.000260655481365557,0.00781790539843286,1.66
-0.0847507722342585,0.013450705359295,0.0302110769770245,0.00196559981910926,0.000158066309052796,0.0075230116800995,1.665
-0.084740944235163,0.0134514956908403,0.030248692035425,0.00197391357981136,5.50419687772585e-05,0.00728094818345237,1.67
-0.0847310746672639,0.0134517709006842,0.0302850967763423,0.00201213407180489,-3.14254238881206e-05,0.00709057417858094,1.675
-0.0847210139969049,0.0134516137735647,0.0303205496472352,0.00207004866725757,-8.82637090166005e-05,0.0069463792423452,1.68
-0.0847106637535686,0.0134511724550196,0.0303552815434469,0.00213580971184513,-0.000107588860917551,0.00684004016038298,1.685
-0.0846999847050094,0.0134506345107151,0.0303894817442488,0.00219666693321852,-8.73180479948887e-05,0.00676184136174651,1.69
-0.0846890013703433,0.0134501979204751,0.0304232909510576,0.00223986711487267,-3.10319265728332e-05,0.00670180440951462,1.695
-0.0846778020347689,0.0134500427608422,0.0304567999731051,0.0022537119725774,5.2889792878652e-05,0.00665045393688501,1.7
-0.084666533474906,0.0134503072098066,0.0304900522427896,0.00222869429227224,0.000152743521958376,0.00659919624268479,1.705
-0.0846553900034447,0.0134510709274164,0.030523048224003,0.00215855621010785,0.00025538962317162,0.00654035870801817,1.71
-0.0846445972223941,0.0134523478755323,0.0305557500175431,0.00204107144614607,0.000348277554620968,0.0064670246462839,1.715
-0.0846343918651634,0.0134540892633054,0.0305880851407745,0.00187837407770175,0.000421297120745123,0.00637286223765798,1.72
-0.0846249999947749,0.0134561957489091,0.0306199494519628,0.00167674637598925,0.0004681834178899,0.00625215253200473,1.725
-0.084616616262895,0.0134585366659985,0.0306512102146228,0.00144590810904344,0.000487303051599497,0.00610013035284851,1.73
-0.0846093867223497,0.0134609731812565,0.030681710866387,0.00119795682305135,0.00048175358760838,0.00591357436832141,1.735
-0.0846033969382345,0.0134633819491946,0.0307112787382287,0.000946149816094533,0.000458775219189245,0.00569141320960753,1.74
-0.084598666189154,0.0134656758252905,0.0307397358042767,0.000703712563554504,0.000428535070950975,0.00543504639598513,1.745
-0.0845951476263362,0.0134678185006453,0.0307669110362566,0.00048284003855148,0.00040245672995598,0.00514813289997917,1.75
-0.0845927334261435,0.0134698307842951,0.0307926517007565,0.000294017666324642,0.000391401314708828,0.00483575258205526,1.755
-0.0845912633378119,0.0134717877908686,0.0308168304636668,0.000145699751175066,0.000404058673875163,0.00450306123851441,1.76
-0.084590534839056,0.013473808084238,0.0308393457698594,4.42587783755499e-05,0.000445829016745836,0.00415378334437388,1.765
-0.0845903135451641,0.0134760372293217,0.0308601146865812,-5.98137694929335e-06,0.000518317607728358,0.00378903306432754,1.77
-0.0845903434520489,0.0134786288173604,0.0308790598519029,-2.83263148492807e-06,0.00061940309864783,0.00340695165941263,1.775
-0.0845903576152063,0.0134817258328536,0.0308960946101999,5.34315806266505e-05,0.000743718204904154,0.00300348588113675,1.78
-0.0845900904573031,0.0134854444238781,0.0309111120396056,0.000159555313250515,0.000883328142908812,0.00257433136596763,1.785
-0.0845892926807369,0.0134898610645927,0.0309239836964355,0.000308784388836081,0.00102842299497252,0.00211769049571764,1.79
-0.0845877487587927,0.0134950031795675,0.030934572148914,0.000490608705239204,0.00116793466216347,0.00163718858541273,1.795
-0.0845852957152665,0.0135008428528783,0.0309427580918411,0.000690931428626307,0.0012900924814041,0.00114417948031686,1.8
-0.0845818410581234,0.0135072933152854,0.0309484789892427,0.000892704081656426,0.00138299076661297,0.000658744568826641,1.805
-0.0845773775377151,0.0135142082691184,0.0309517727120868,0.001077002224803,0.00143524320128929,0.00020889997833784,1.81
-0.0845719925265911,0.0135213844851249,0.0309528172119785,0.00122451633171039,0.00143676800471726,-0.000172133264508822,1.815
-0.0845658699449325,0.0135285683251485,0.030951956545656,0.00131740583699802,0.0013797036948926,-0.000450317565081626,1.82
-0.0845592829157475,0.0135354668436229,0.0309497049578306,0.00134136273848284,0.00125939307578371,-0.000596161493193748,1.825
-0.0845525761020551,0.0135417638090018,0.0309467241503646,0.00128760482156487,0.00107529981183407,-0.000590077849849102,1.83
-0.0845461380779473,0.013547140308061,0.0309437737611153,0.0011544542520614,0.000831674720780384,-0.000426656709784368,1.835
-0.084540365806687,0.0135512986816649,0.0309416404775664,0.000948184531512908,0.000537794970617567,-0.00011693096026999,1.84
-0.0845356248840294,0.013553987656518,0.0309410558227651,0.000682900772885908,0.000207655887982106,0.000311898561244917,1.845
-0.084532210380165,0.0135550259359579,0.0309426153155713,0.000379340708955844,-0.000140907723830686,0.00081929665900482,1.85
-0.0845303136766202,0.0135543213973388,0.0309467117988663,6.26775618295383e-05,-0.000487576017385583,0.00135627225723578,1.855
-0.0845300002888111,0.0135518835172518,0.0309534931601525,-0.000240353386726788,-0.00081118380039491,0.0018713609940324,1.86
-0.0845312020557447,0.0135478275982499,0.0309628499651227,-0.000504502832865406,-0.00109141369949162,0.00231658637961374,1.865
-0.084533724569909,0.0135423705297524,0.0309744328970207,-0.000708700510565485,-0.00131032714347779,0.00265237858336764,1.87
-0.0845372680724619,0.013535818894035,0.0309876947899376,-0.000837994116809071,-0.00145359019367852,0.00285076323416344,1.875
-0.0845414580430459,0.0135285509430666,0.0310019486061084,-0.000884558232838728,-0.00151136130831786,0.00289660329462205,1.88
-0.0845458808342101,0.013520994136525,0.0310164316225815,-0.00084781627842645,-0.00147889005491231,0.00278715595853907,1.885
-0.0845501199156022,0.0135135996862505,0.0310303674023742,-0.000733863045820904,-0.00135688030827308,0.00253052364072026,1.89
-0.0845537892308313,0.0135068152847091,0.0310430200205778,-0.000554438174593663,-0.00115162982246009,0.00214364903485809,1.895
-0.0845565614217043,0.0135010571355968,0.0310537382657521,-0.000325703018866363,-0.000874920598811779,0.00165039445345627,1.9
-0.0845581899367986,0.0134966825326027,0.0310619902380194,-6.70195072327573e-05,-0.00054360121344299,0.00108004503589498,1.905
-0.0845585250343348,0.0134939645265355,0.0310673904631988,0.000200182300580387,-0.000178769755684871,0.000466292744172314,1.91
-0.0845575241228319,0.0134930706777571,0.0310697219269197,0.000453500684183261,0.000195524541787839,-0.000153580167538969,1.915
-0.084555256619411,0.013494048300466,0.031068954026082,0.000670768343891126,0.00055406023388993,-0.000739834575225196,1.92
-0.0845519027776915,0.0134968186016355,0.0310652548532059,0.000831498939213304,0.000872579563682141,-0.00125221463889158,1.925
-0.0845477452829955,0.0135011814994539,0.0310589937800114,0.000918597358179341,0.00113005499495222,-0.00165292362011016,1.93
-0.0845431522962046,0.0135068317744287,0.0310507291619109,0.000920216703770294,0.00131080725038479,-0.00191050389213299,1.935
-0.0845385512126857,0.0135133858106806,0.0310411766424502,0.000831512590004913,0.00140618959887095,-0.00200412338504652,1.94
-0.0845343936497357,0.0135204167586749,0.031031156025525,0.000655945820038362,0.00141558646360729,-0.00192747323259912,1.945
-0.0845311139206355,0.013527494690993,0.031021518659362,0.000405755663379637,0.00134655138437911,-0.00169134520093817,1.95
-0.0845290851423186,0.0135342274479149,0.0310130619333573,0.000101309265532201,0.00121403119967278,-0.00132405702502059,1.955
-0.0845285785959909,0.0135402976039132,0.0310064416482322,-0.000230760914554651,0.00103876776891276,-0.000869259719515902,1.96
-0.0845297324005637,0.0135454914427578,0.0310020953496346,-0.000560443125019461,0.000845097067259104,-0.000381229939327987,1.965
-0.0845325346161888,0.0135497169280941,0.031000189199938,-0.000857824627709114,0.000658445986187473,8.16660024272053e-05,1.97
-0.0845368237393274,0.013553009158025,0.0310005975299501,-0.00109660656053556,0.000502844897345978,0.000464248955100999,1.975
-0.08454230677213,0.0135555233825118,0.0310029187747256,-0.00125710504439436,0.000398734172046833,0.000721311980211858,1.98
-0.084548592297352,0.013557517053372,0.0310065253346267,-0.00132829035754956,0.000361266173370955,0.000822778389308887,1.985
-0.0845552337491398,0.0135593233842388,0.0310106392265732,-0.00130858707383386,0.000399213902058104,0.000756424660153243,1.99
-0.0845617766845089,0.0135613194537491,0.031014421349874,-0.00120537996599612,0.000514511386873195,0.000527880256928626,1.995
-0.0845678035843389,0.0135638920106835,0.0310170607511586,-0.00103340528980755,0.000702381171019395,0.000158203953004588,2
-0.0845729706107879,0.0135674039165386,0.0310178517709236,-0.000812391297722037,0.000951957250341917,-0.000320193106473354,2.005
-0.0845770325672766,0.0135721637027903,0.0310162508053913,-0.000564398476909922,0.00124729082582042,-0.000868279845178677,2.01
-0.0845798545596611,0.0135784001569194,0.0310119094061654,-0.000311300314570495,0.00156863022896525,-0.00144483022188613,2.015
-0.084581411061234,0.0135862433080642,0.031004685255056,-7.27594748450855e-05,0.00189388533037294,-0.00200984678173644,2.02
-0.0845817748586082,0.0135957127347161,0.0309946360211473,0.000135092906172751,0.00220020432736556,-0.0025267213945801,2.025
-0.0845810993940773,0.0136067137563529,0.0309820024141744,0.000300242497841552,0.00246559281874836,-0.00296331420566176,2.03
-0.0845795981815881,0.0136190417204467,0.0309671858431461,0.000414765257117367,0.0026704918809517,-0.00329242523404716,2.035
-0.0845775243553025,0.0136323941798514,0.0309507237169758,0.000474418646256858,0.00279922420879652,-0.00349221087492246,2.04
-0.0845751522620712,0.0136463903008954,0.0309332626626012,0.00047811567882583,0.00284122942291187,-0.00354696856461612,2.045
-0.0845727616836771,0.01366059644801,0.0309155278197781,0.000427496533195182,0.00279201937804785,-0.00344843128077255,2.05
-0.0845706242010111,0.0136745565449002,0.0308982856633743,0.000326698237307355,0.00265376265307649,-0.003197378043307,2.055
-0.0845689907098246,0.0136878253581656,0.0308822987731577,0.000182303114337756,0.00243537247818226,-0.00280509425061304,2.06
-0.0845680791942529,0.0137000022205565,0.0308682733019047,3.36217635954483e-06,0.00215197948460477,-0.00229410831844579,2.065
-0.0845680623833711,0.0137107621179795,0.0308568027603124,-0.000198657232131083,0.00182374803049667,-0.00169772236020549,2.07
-0.0845690556695318,0.013719880858132,0.0308483141485114,-0.000410162110053847,0.00147412063012109,-0.00105807140713399,2.075
-0.084571106480082,0.0137272514612826,0.0308430237914757,-0.000616090675120695,0.0011277063924009,-0.000422696669910572,2.08
-0.0845741869334576,0.0137328899932446,0.0308409103081262,-0.0008009749429716,0.000808115445008473,0.000160091710910137,2.085
