"name_output","ind_output","referential_elements","W_elements","R2_elements"
"SN001_0028","8",1,0.469836370480642,0.537162459932384
"SN001_0028","8",1,0.598189609507458,0.378760499814032
"SN001_0028","8",1,0.275973070223962,0.839912214223678
"SN001_0028","8",1,0.529917857260969,0.472323191096217
"SN001_0028","8",1,0.224344136998114,0.932592025354738
"SN001_0028","8",1,0.361204816323681,0.740412600520051
"SN001_0028","8",1,0.25449210533147,0.893989093351623
"SN001_0028","8",1,0.776122511559756,0.0476977572193141
"SN001_0028","8",1,0.462900111652491,0.540250771852968
"SN001_0028","8",1,0.386092705370331,0.688114876278665
"SN001_0028","8",1,0.306804866704618,0.785581689704796
"SN001_0028","8",1,0.214713807974225,0.903348231637423
"SN001_0028","8",1,0.949490133637654,0.0955806077187063
"SN001_0028","8",1,0.294342544552255,0.81778239142687
"SN001_0028","8",1,0.730707913403735,0.0396801504851019
"SN001_0028","8",1,0.442858165143818,0.651058727226067
"SN001_0028","8",1,0.88805801730807,0.0947542920769061
"SN001_0028","8",1,0.534024985315847,0.401785288869236
"SN001_0028","8",1,0.148800352060987,0.956260753654431
"SN001_0028","8",1,0.169086967480407,0.972173639438012
"SN001_0028","8",1,0.158238553716949,0.943004740802749
"SN001_0028","8",1,0.360363894377444,0.806482414408437
"SN001_0028","8",1,0.124173176792258,0.978381805683317
"SN001_0028","8",1,0.733606511607681,0.0527732709953401
"SN001_0028","8",1,0.643419986455891,0.207336717172344
"SN001_0028","8",1,0.411402828757406,0.632884079847539
"SN001_0028","8",1,0.411522131861561,0.6267670098739
"SN001_0028","8",1,0.521675327135671,0.48005782463919
"SN001_0028","8",1,0.20422162946912,0.912738151096072
"SN001_0028","8",1,0.273232277484859,0.868550002963234
"SN001_0028","8",1,0.238747928967763,0.905030720195986
"SN001_0028","8",1,1.12832975500858,0.0208064491053562
"SN001_0028","8",1,0.269429095215828,0.84527981954404
"SN001_0028","8",1,0.426128835235903,0.599562243194705
"SN001_0028","8",1,0.252312431374513,0.8637270204264
"SN001_0028","8",1,0.750357022658425,0.307828258416255
"SN001_0028","8",1,0.518961579080034,0.413825744960191
"SN001_0028","8",1,0.852052315141224,0.0216023889921028
"SN001_0028","8",1,0.319027597579842,0.771486499392925
"SN001_0028","8",1,0.637939209594596,0.215220372663863
"SN001_0028","8",1,0.201718308686187,0.930455386199687
"SN001_0028","8",1,0.332821039178103,0.765126982077586
"SN001_0028","8",1,0.474622836108196,0.510216643104075
"SN001_0028","8",1,0.490086850301706,0.591122423352336
"SN001_0028","8",1,0.831859763107812,0.167664672523624
"SN001_0028","8",1,0.139546315153104,0.961935112809298
"SN001_0028","8",1,0.313180096456014,0.797954650788759
"SN001_0028","8",1,0.525194533869647,0.438371681822869
"SN001_0028","8",1,0.137693877181276,0.959198669308519
"SN001_0028","8",1,0.626902112004246,0.227423569707363
"SN001_0028","8",1,0.226329744267208,0.920276624525696
"SN001_0028","8",1,0.31650114911501,0.793602592354319
"SN001_0028","8",1,0.867741906011308,0.178089489179721
"SN001_0028","8",1,0.199970328990364,0.942613310959863
"SN001_0028","8",1,0.526202602924942,0.532139141471774
"SN001_0028","8",1,0.220183890392291,0.933447110345772
"SN001_0028","8",1,0.6987143877605,0.254245984874029
"SN001_0028","8",1,0.380921450652016,0.682853973907036
"SN001_0028","8",1,0.549376127870216,0.361600637030863
"SN001_0028","8",1,0.411355134552057,0.625907936639776
"SN001_0028","8",1,0.250623628619401,0.872282463790385
"SN001_0028","8",1,0.619120927593572,0.368191217882779
"SN001_0028","8",1,0.105333451930113,0.983751514152149
"SN001_0028","8",1,0.603367947952782,0.475243832403845
